,val_loss,val_accuracy,val_top_k_categorical_accuracy,val_f1,loss,accuracy,top_k_categorical_accuracy,f1
0,0.42132738188831653,0.9548793435096741,0.9832109212875366,0.9590228796005249,0.011975744593895119,0.9974862933158875,0.9997714757919312,0.9974837899208069
1,0.40984870894867753,0.9559286236763,0.9821615815162659,0.9602161645889282,0.0014965274842484635,0.9995429515838623,1.0,0.9995454549789429
2,0.40506950149787563,0.9580273032188416,0.9832109212875366,0.9601062536239624,0.00023628331038568317,1.0,1.0,1.0
3,0.3890170198117636,0.9590765833854675,0.9853095412254333,0.9611740112304688,0.0007569353406108657,0.9995429515838623,1.0,0.9995454549789429
4,0.3828515899010933,0.9590765833854675,0.9853095412254333,0.9621187448501587,0.0003368632317802751,1.0,1.0,1.0
5,0.38238025008303045,0.9590765833854675,0.9853095412254333,0.9625948667526245,9.765300827689441e-05,1.0,1.0,1.0
6,0.38327204995834563,0.9590765833854675,0.9853095412254333,0.961138904094696,0.00042540794665195695,0.9997714757919312,1.0,0.9997726678848267
7,0.37314999551910044,0.9601259231567383,0.9853095412254333,0.962577223777771,0.0004360545429309013,1.0,1.0,1.0
8,0.37305437723430734,0.9580273032188416,0.9853095412254333,0.9606401324272156,8.677800438831241e-05,1.0,1.0,1.0
9,0.3774677416913657,0.9590765833854675,0.9853095412254333,0.9615772366523743,0.00016099210587721148,1.0,1.0,1.0
10,0.3787427852897742,0.9601259231567383,0.9853095412254333,0.9620885848999023,0.00011323127176730361,1.0,1.0,1.0
11,0.3799170783456075,0.961175262928009,0.9853095412254333,0.9636325836181641,0.00025490453300132653,1.0,1.0,1.0
12,0.38264166850280035,0.962224543094635,0.9853095412254333,0.9636576771736145,0.00021386606839099163,1.0,1.0,1.0
13,0.3901235035699787,0.961175262928009,0.9853095412254333,0.962657630443573,7.167869039579322e-05,1.0,1.0,1.0
14,0.39145980681149056,0.9601259231567383,0.9853095412254333,0.9616551399230957,4.818729550051463e-05,1.0,1.0,1.0
15,0.3904030879750332,0.9601259231567383,0.9853095412254333,0.9621814489364624,0.000147714555613703,1.0,1.0,1.0
16,0.3900339855711833,0.9601259231567383,0.9853095412254333,0.9611738920211792,0.00011185449103494012,1.0,1.0,1.0
17,0.39411851653491087,0.961175262928009,0.9853095412254333,0.961086094379425,0.00010435936939733807,1.0,1.0,1.0
18,0.3971704575355318,0.9580273032188416,0.9863588809967041,0.9601010084152222,0.0002225409042797169,1.0,1.0,1.0
19,0.397273720153153,0.9580273032188416,0.9863588809967041,0.9601010084152222,2.8448085665466426e-05,1.0,1.0,1.0
20,0.3948604107207979,0.9601259231567383,0.9863588809967041,0.9621061086654663,8.113723523200042e-05,1.0,1.0,1.0
21,0.393337442098891,0.961175262928009,0.9863588809967041,0.9630659818649292,0.00015467006265943245,1.0,1.0,1.0
22,0.4002448782434243,0.9590765833854675,0.9863588809967041,0.9627224206924438,0.00010156381042480367,1.0,1.0,1.0
23,0.40440754790605676,0.9569779634475708,0.9853095412254333,0.9612563848495483,8.058522294644322e-05,1.0,1.0,1.0
24,0.3941422564691912,0.961175262928009,0.9863588809967041,0.9647625684738159,7.957539922110227e-05,1.0,1.0,1.0
25,0.3918022154366201,0.962224543094635,0.9863588809967041,0.9648078680038452,5.6339200869124614e-05,1.0,1.0,1.0
26,0.3867013067268969,0.961175262928009,0.9863588809967041,0.9626927375793457,7.934601744038323e-05,1.0,1.0,1.0
27,0.38613905329042253,0.961175262928009,0.9863588809967041,0.9616401791572571,5.383324334792436e-05,1.0,1.0,1.0
28,0.38654958601779105,0.9601259231567383,0.9853095412254333,0.9616401791572571,8.40161500652658e-05,1.0,1.0,1.0
29,0.3867333610693593,0.9590765833854675,0.9853095412254333,0.9621288180351257,5.002266478932907e-05,1.0,1.0,1.0
