class,classifier,precision,recall,f1_score,support
7522,SVC,0.31,1.0,0.47,16.0
7523,SVC,1.0,1.0,1.0,11.0
7528,SVC,1.0,1.0,1.0,3.0
7529,SVC,1.0,1.0,1.0,4.0
7530,SVC,1.0,1.0,1.0,8.0
7553,SVC,1.0,1.0,1.0,11.0
7557,SVC,0.91,0.91,0.91,11.0
7579,SVC,1.0,1.0,1.0,14.0
7604,SVC,1.0,0.92,0.96,13.0
7613,SVC,1.0,1.0,1.0,7.0
7618,SVC,1.0,1.0,1.0,4.0
7619,SVC,1.0,1.0,1.0,6.0
7632,SVC,1.0,0.92,0.96,12.0
7648,SVC,1.0,1.0,1.0,7.0
7723,SVC,1.0,1.0,1.0,2.0
7741,SVC,1.0,1.0,1.0,6.0
7788,SVC,1.0,1.0,1.0,2.0
7844,SVC,1.0,1.0,1.0,11.0
7927,SVC,1.0,0.8,0.89,5.0
8067,SVC,1.0,1.0,1.0,3.0
8127,SVC,1.0,1.0,1.0,5.0
8231,SVC,1.0,1.0,1.0,5.0
8267,SVC,1.0,1.0,1.0,6.0
8268,SVC,1.0,1.0,1.0,3.0
8291,SVC,1.0,1.0,1.0,3.0
8549,SVC,1.0,1.0,1.0,7.0
8724,SVC,0.0,0.0,0.0,5.0
8725,SVC,1.0,1.0,1.0,7.0
8748,SVC,1.0,1.0,1.0,2.0
8794,SVC,0.75,1.0,0.86,3.0
8907,SVC,1.0,1.0,1.0,5.0
8921,SVC,1.0,1.0,1.0,2.0
8941,SVC,1.0,1.0,1.0,8.0
9103,SVC,1.0,1.0,1.0,3.0
9129,SVC,1.0,1.0,1.0,2.0
9240,SVC,1.0,1.0,1.0,3.0
9311,SVC,1.0,1.0,1.0,2.0
9548,SVC,1.0,1.0,1.0,6.0
9566,SVC,1.0,1.0,1.0,8.0
9906,SVC,1.0,1.0,1.0,4.0
9912,SVC,0.14,1.0,0.25,3.0
10208,SVC,1.0,1.0,1.0,8.0
10238,SVC,0.92,1.0,0.96,12.0
10271,SVC,0.67,1.0,0.8,2.0
10333,SVC,1.0,0.9,0.95,10.0
10428,SVC,1.0,1.0,1.0,3.0
10537,SVC,1.0,1.0,1.0,4.0
10557,SVC,1.0,0.25,0.4,4.0
10587,SVC,0.75,1.0,0.86,3.0
10617,SVC,1.0,1.0,1.0,5.0
10852,SVC,1.0,1.0,1.0,4.0
10889,SVC,1.0,0.67,0.8,3.0
10902,SVC,1.0,1.0,1.0,3.0
10947,SVC,1.0,0.92,0.96,13.0
11271,SVC,1.0,1.0,1.0,3.0
11300,SVC,1.0,1.0,1.0,9.0
11333,SVC,1.0,1.0,1.0,3.0
11361,SVC,1.0,1.0,1.0,5.0
11527,SVC,1.0,1.0,1.0,5.0
11530,SVC,1.0,1.0,1.0,11.0
11549,SVC,1.0,1.0,1.0,7.0
11581,SVC,1.0,1.0,1.0,3.0
11587,SVC,0.75,1.0,0.86,3.0
11592,SVC,1.0,1.0,1.0,6.0
11595,SVC,1.0,1.0,1.0,2.0
11692,SVC,1.0,1.0,1.0,7.0
11743,SVC,1.0,1.0,1.0,2.0
11756,SVC,1.0,1.0,1.0,3.0
11765,SVC,1.0,1.0,1.0,4.0
11841,SVC,1.0,1.0,1.0,3.0
11931,SVC,1.0,1.0,1.0,6.0
11996,SVC,0.67,0.67,0.67,3.0
12043,SVC,1.0,1.0,1.0,4.0
12815,SVC,1.0,1.0,1.0,2.0
12882,SVC,1.0,1.0,1.0,3.0
12900,SVC,1.0,0.8,0.89,10.0
13039,SVC,0.67,1.0,0.8,4.0
13119,SVC,1.0,1.0,1.0,3.0
13130,SVC,0.86,1.0,0.92,6.0
13176,SVC,0.86,1.0,0.92,6.0
13220,SVC,0.0,0.0,0.0,4.0
13288,SVC,1.0,1.0,1.0,11.0
13297,SVC,1.0,1.0,1.0,12.0
13355,SVC,1.0,0.67,0.8,3.0
13583,SVC,0.75,1.0,0.86,3.0
13591,SVC,1.0,1.0,1.0,8.0
13617,SVC,1.0,1.0,1.0,7.0
13679,SVC,1.0,1.0,1.0,3.0
13853,SVC,1.0,1.0,1.0,4.0
13916,SVC,1.0,1.0,1.0,3.0
14196,SVC,1.0,0.5,0.67,4.0
14356,SVC,1.0,1.0,1.0,4.0
15018,SVC,1.0,1.0,1.0,8.0
15310,SVC,1.0,1.0,1.0,3.0
16118,SVC,1.0,1.0,1.0,11.0
16586,SVC,1.0,1.0,1.0,4.0
16751,SVC,1.0,1.0,1.0,4.0
16821,SVC,0.0,0.0,0.0,3.0
17065,SVC,1.0,1.0,1.0,3.0
17076,SVC,1.0,1.0,1.0,6.0
17213,SVC,1.0,1.0,1.0,7.0
17227,SVC,1.0,1.0,1.0,3.0
17372,SVC,1.0,1.0,1.0,3.0
17453,SVC,1.0,1.0,1.0,3.0
17672,SVC,1.0,1.0,1.0,5.0
17793,SVC,1.0,1.0,1.0,4.0
18243,SVC,0.8,1.0,0.89,4.0
18398,SVC,1.0,0.8,0.89,5.0
18432,SVC,0.75,1.0,0.86,3.0
18841,SVC,1.0,1.0,1.0,14.0
19440,SVC,1.0,1.0,1.0,8.0
19930,SVC,1.0,1.0,1.0,3.0
20249,SVC,1.0,1.0,1.0,3.0
20599,SVC,1.0,1.0,1.0,7.0
21586,SVC,1.0,1.0,1.0,2.0
21699,SVC,1.0,1.0,1.0,4.0
22121,SVC,1.0,1.0,1.0,2.0
22705,SVC,0.8,1.0,0.89,4.0
22820,SVC,1.0,1.0,1.0,2.0
22955,SVC,1.0,1.0,1.0,2.0
23351,SVC,1.0,1.0,1.0,7.0
23796,SVC,1.0,0.92,0.96,13.0
24244,SVC,1.0,1.0,1.0,4.0
24707,SVC,0.83,1.0,0.91,5.0
26004,SVC,1.0,1.0,1.0,5.0
26066,SVC,1.0,1.0,1.0,3.0
26208,SVC,1.0,1.0,1.0,4.0
26295,SVC,1.0,1.0,1.0,3.0
26408,SVC,1.0,1.0,1.0,4.0
26755,SVC,1.0,1.0,1.0,5.0
26998,SVC,0.75,1.0,0.86,3.0
27250,SVC,0.0,0.0,0.0,3.0
27534,SVC,1.0,1.0,1.0,8.0
29561,SVC,1.0,1.0,1.0,3.0
29598,SVC,1.0,1.0,1.0,2.0
29673,SVC,1.0,1.0,1.0,2.0
29854,SVC,1.0,1.0,1.0,4.0
30186,SVC,1.0,1.0,1.0,3.0
30623,SVC,1.0,1.0,1.0,3.0
31068,SVC,1.0,1.0,1.0,6.0
32046,SVC,1.0,1.0,1.0,6.0
33575,SVC,1.0,1.0,1.0,3.0
33732,SVC,1.0,1.0,1.0,5.0
34007,SVC,1.0,1.0,1.0,3.0
34478,SVC,0.0,0.0,0.0,3.0
35566,SVC,1.0,1.0,1.0,10.0
35752,SVC,1.0,1.0,1.0,7.0
36545,SVC,0.0,0.0,0.0,4.0
36555,SVC,1.0,0.5,0.67,4.0
36660,SVC,1.0,1.0,1.0,2.0
36697,SVC,1.0,1.0,1.0,7.0
37293,SVC,1.0,0.67,0.8,3.0
38768,SVC,1.0,1.0,1.0,6.0
41378,SVC,1.0,1.0,1.0,3.0
42319,SVC,0.0,0.0,0.0,4.0
42599,SVC,1.0,1.0,1.0,3.0
45216,SVC,1.0,1.0,1.0,6.0
47920,SVC,1.0,1.0,1.0,3.0
49030,SVC,1.0,0.83,0.91,6.0
51783,SVC,1.0,1.0,1.0,3.0
54164,SVC,1.0,1.0,1.0,3.0
