class,classifier,precision,recall,f1_score,support
6303,Approach2_Step4,0.8,1.0,0.89,4.0
6319,Approach2_Step4,0.86,0.86,0.86,7.0
6321,Approach2_Step4,1.0,1.0,1.0,2.0
6336,Approach2_Step4,0.8,1.0,0.89,4.0
6453,Approach2_Step4,1.0,0.75,0.86,4.0
6466,Approach2_Step4,0.33,0.33,0.33,3.0
6927,Approach2_Step4,0.67,0.5,0.57,4.0
8091,Approach2_Step4,1.0,0.33,0.5,3.0
8404,Approach2_Step4,1.0,1.0,1.0,4.0
8833,Approach2_Step4,1.0,1.0,1.0,3.0
8941,Approach2_Step4,0.6,1.0,0.75,3.0
9677,Approach2_Step4,1.0,1.0,1.0,4.0
10034,Approach2_Step4,1.0,0.67,0.8,3.0
10094,Approach2_Step4,1.0,1.0,1.0,3.0
10107,Approach2_Step4,0.67,1.0,0.8,4.0
10153,Approach2_Step4,1.0,1.0,1.0,2.0
10176,Approach2_Step4,0.5,0.75,0.6,4.0
10222,Approach2_Step4,1.0,1.0,1.0,4.0
10248,Approach2_Step4,0.8,0.8,0.8,5.0
10367,Approach2_Step4,1.0,1.0,1.0,3.0
10410,Approach2_Step4,1.0,1.0,1.0,8.0
10445,Approach2_Step4,1.0,0.67,0.8,3.0
10522,Approach2_Step4,0.78,1.0,0.88,7.0
10616,Approach2_Step4,1.0,1.0,1.0,3.0
10832,Approach2_Step4,0.0,0.0,0.0,2.0
10971,Approach2_Step4,0.75,0.75,0.75,4.0
10974,Approach2_Step4,1.0,1.0,1.0,3.0
11006,Approach2_Step4,1.0,0.67,0.8,3.0
11029,Approach2_Step4,1.0,1.0,1.0,2.0
11053,Approach2_Step4,0.5,0.25,0.33,4.0
11074,Approach2_Step4,1.0,0.67,0.8,3.0
11112,Approach2_Step4,1.0,1.0,1.0,3.0
11143,Approach2_Step4,0.4,1.0,0.57,4.0
11205,Approach2_Step4,0.75,1.0,0.86,3.0
11212,Approach2_Step4,1.0,0.33,0.5,3.0
11275,Approach2_Step4,0.75,1.0,0.86,3.0
11295,Approach2_Step4,0.67,0.5,0.57,4.0
11896,Approach2_Step4,1.0,1.0,1.0,2.0
12321,Approach2_Step4,0.5,0.33,0.4,3.0
12681,Approach2_Step4,1.0,1.0,1.0,3.0
12942,Approach2_Step4,1.0,1.0,1.0,6.0
13081,Approach2_Step4,1.0,1.0,1.0,4.0
