method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,1.0,MARC-geo_only,2020-07-05 15:59:09.002118,16.001117022321615,0.3241019148599462,0.5284063934166798,0.14147966668184808,0.16588922676293938,0.1831403853259888,1.0,5.340135502455822,0.32097989949748745,0.5238693467336684,0.13822399193003937,0.14297398598228392,0.18174420350890938,1.0
OURS,2.0,MARC-geo_only,2020-07-05 15:59:13.208501,4.100379632156584,0.6194018040829246,0.8070897293875613,0.41506928506000473,0.4330660302029951,0.4505454054625875,1.0,2.4192760487896714,0.6074120603015075,0.7996231155778895,0.39954526995466816,0.413785868985541,0.4397483290130348,1.0
OURS,3.0,MARC-geo_only,2020-07-05 15:59:17.416413,2.606786413761724,0.7787624624149391,0.9131191644247507,0.6554120465222082,0.6998195397993625,0.666275448927457,1.0,1.5090149317554493,0.7650753768844221,0.9013819095477387,0.6306806777897225,0.6525620752889127,0.6482411140058199,1.0
OURS,4.0,MARC-geo_only,2020-07-05 15:59:21.495767,1.913968655481654,0.8518752967241652,0.9430289602785251,0.776895103549131,0.8223939480574262,0.777201824324877,1.0,1.106479748709118,0.8310301507537688,0.9315326633165829,0.7432145028009268,0.775160204391739,0.751641667156373,1.0
OURS,5.0,MARC-geo_only,2020-07-05 15:59:25.869209,1.5178354531078517,0.8881152081025478,0.9577464788732394,0.8410417582533429,0.8741565438780685,0.8400824306247866,1.0,0.885120788261519,0.8693467336683417,0.9447236180904522,0.8107921768826639,0.8426869087145205,0.8159143111790171,1.0
OURS,6.0,MARC-geo_only,2020-07-05 15:59:30.060993,1.2523529944983554,0.9072638075644881,0.9661338819433455,0.8744990508732692,0.8948579587285246,0.8757021014549193,1.0,0.7540606790451548,0.8831658291457286,0.9560301507537688,0.8351259759787635,0.8606521950271951,0.840519590159296,1.0
OURS,7.0,MARC-geo_only,2020-07-05 15:59:34.663391,1.0943701148957539,0.9211900617186264,0.9694571925937648,0.8964418285884846,0.9137712759554887,0.8976288044248648,1.0,0.6836321282027354,0.8944723618090452,0.9579145728643216,0.8494227385920358,0.8665558903314322,0.859269590159296,1.0
OURS,8.0,MARC-geo_only,2020-07-05 15:59:39.164249,0.9646808913678832,0.9279949359075803,0.9711979743630321,0.90395665281938,0.9173465620691299,0.9050088753088364,1.0,0.6304750742025711,0.9038944723618091,0.9597989949748744,0.8624595338767613,0.8743833248651359,0.8725579499476559,1.0
OURS,9.0,MARC-geo_only,2020-07-05 15:59:43.753190,0.8758244079999445,0.9306852350055389,0.9730970090204146,0.9056430798664712,0.9139554630156362,0.9069737972328323,1.0,0.586615300957282,0.9064070351758794,0.9623115577889447,0.861914140373178,0.8788683846703528,0.8706355344002403,1.0
OURS,10.0,MARC-geo_only,2020-07-05 15:59:47.933621,0.7996608242050608,0.9373318563063776,0.9759455610064883,0.9181118720182228,0.9262898401348171,0.919624834888369,1.0,0.5550706949665318,0.9051507537688442,0.9616834170854272,0.866967837142467,0.884663821456351,0.8736314828961887,0.0
OURS,11.0,MARC-geo_only,2020-07-05 15:59:52.242988,0.7390768683905616,0.9382813736350688,0.9761038138946035,0.9180852573716701,0.9293719453063553,0.9198880408050862,1.0,0.5304142997492498,0.9133165829145728,0.964824120603015,0.8761846868242739,0.8900732814820608,0.8847000254647314,1.0
OURS,12.0,MARC-geo_only,2020-07-05 15:59:56.777233,0.6911769541339192,0.9435037189428707,0.9781611014401013,0.9248985766330249,0.9332032493083818,0.9258617879746964,1.0,0.5100156805623117,0.9183417085427136,0.9616834170854272,0.8830700552598216,0.8957561014120612,0.8890732818379877,1.0
OURS,13.0,MARC-geo_only,2020-07-05 16:00:01.629647,0.6484571656418254,0.9442949833834468,0.9786358601044469,0.927941129722653,0.9345963204714318,0.9296034068125641,1.0,0.4973815357565281,0.9202261306532663,0.9654522613065326,0.8906937772392174,0.9063369309139432,0.8965514564411624,1.0
OURS,14.0,MARC-geo_only,2020-07-05 16:00:06.156148,0.6206127937731627,0.946035765152714,0.9799018832093686,0.9289683287195832,0.9322729687789164,0.9328849646087379,1.0,0.4865637197716152,0.9214824120603015,0.9667085427135679,0.8932845700189472,0.9089303265152078,0.8996903453300513,1.0
OURS,15.0,MARC-geo_only,2020-07-05 16:00:10.746295,0.5720651011467734,0.9461940180408293,0.9836999525241336,0.9290808046525175,0.933913989821365,0.9301262504459326,1.0,0.4679081150934325,0.9233668341708543,0.9685929648241206,0.8942446263864284,0.9086259594858666,0.8968100543247601,1.0
OURS,16.0,MARC-geo_only,2020-07-05 16:00:15.112588,0.5578260597954032,0.9476182940338661,0.9819591707548663,0.9325593928582467,0.9375462414188714,0.9350404072605749,1.0,0.4561281080671291,0.9239949748743719,0.9660804020100503,0.898456690942924,0.9126656618808321,0.9044218268115325,1.0
OURS,17.0,MARC-geo_only,2020-07-05 16:00:19.637830,0.5392201036040325,0.9510998575724007,0.9819591707548663,0.9355464630121717,0.9404966608418541,0.9386450447931255,1.0,0.45460959280555574,0.9239949748743719,0.9654522613065326,0.8971055387155861,0.9118319744697453,0.9029244723141782,0.0
OURS,18.0,MARC-geo_only,2020-07-05 16:00:24.086212,0.5262165043451756,0.9512581104605159,0.9854407342934008,0.9355269363920368,0.9400413992781175,0.9382076962970312,1.0,0.44877027499316324,0.9265075376884422,0.9673366834170855,0.9004880658701677,0.915887979323738,0.9057157181054241,1.0
OURS,19.0,MARC-geo_only,2020-07-05 16:00:28.165220,0.5020740463077541,0.9550561797752809,0.9852824814052856,0.9394917366193325,0.9425252470442262,0.9426389485445981,1.0,0.4342929617543915,0.9271356783919598,0.9685929648241206,0.8974783060366707,0.9110420214890028,0.9041482577879636,1.0
OURS,20.0,MARC-geo_only,2020-07-05 16:00:32.866998,0.47666346333528326,0.9564804557683177,0.9863902516220922,0.9407211071227922,0.9489127087293522,0.9420990991857442,1.0,0.4280090919092073,0.9290201005025126,0.9692211055276382,0.898184607865295,0.9113667604898255,0.9035457445604504,1.0
OURS,21.0,MARC-geo_only,2020-07-05 16:00:37.508604,0.4657435881825523,0.956638708656433,0.9854407342934008,0.9421752848986403,0.9458054126881112,0.9447792748730319,1.0,0.4331860751961943,0.9290201005025126,0.9685929648241206,0.905559924824089,0.9208150914798231,0.9092633371530432,0.0
OURS,22.0,MARC-geo_only,2020-07-05 16:00:41.682368,0.4552280209660247,0.9588542490900459,0.9874980218388986,0.9454546041553302,0.9521510169238528,0.9473211831848535,1.0,0.41937750136133417,0.9265075376884422,0.9698492462311558,0.8997324181889277,0.9114768474273118,0.9064773823670883,0.0
