class,classifier,precision,recall,f1_score,support
6687,Approach2_Step2,1.0,1.0,1.0,9.0
6793,Approach2_Step2,1.0,1.0,1.0,4.0
6833,Approach2_Step2,1.0,0.86,0.92,7.0
6847,Approach2_Step2,1.0,1.0,1.0,3.0
6895,Approach2_Step2,1.0,1.0,1.0,9.0
6903,Approach2_Step2,1.0,1.0,1.0,6.0
6906,Approach2_Step2,0.94,1.0,0.97,15.0
6907,Approach2_Step2,1.0,1.0,1.0,12.0
6925,Approach2_Step2,1.0,1.0,1.0,4.0
6933,Approach2_Step2,1.0,1.0,1.0,4.0
6955,Approach2_Step2,0.8,1.0,0.89,4.0
7108,Approach2_Step2,1.0,1.0,1.0,5.0
7115,Approach2_Step2,1.0,0.62,0.77,8.0
7125,Approach2_Step2,1.0,1.0,1.0,5.0
7217,Approach2_Step2,1.0,1.0,1.0,2.0
7218,Approach2_Step2,1.0,1.0,1.0,3.0
7226,Approach2_Step2,1.0,1.0,1.0,2.0
7363,Approach2_Step2,0.75,1.0,0.86,3.0
7419,Approach2_Step2,1.0,1.0,1.0,6.0
7421,Approach2_Step2,1.0,1.0,1.0,5.0
7424,Approach2_Step2,1.0,0.5,0.67,2.0
7427,Approach2_Step2,1.0,1.0,1.0,3.0
7450,Approach2_Step2,1.0,1.0,1.0,2.0
7464,Approach2_Step2,1.0,1.0,1.0,2.0
7467,Approach2_Step2,1.0,1.0,1.0,2.0
7522,Approach2_Step2,0.36,1.0,0.53,16.0
7523,Approach2_Step2,1.0,1.0,1.0,11.0
7528,Approach2_Step2,1.0,1.0,1.0,2.0
7529,Approach2_Step2,1.0,0.67,0.8,3.0
7530,Approach2_Step2,1.0,1.0,1.0,7.0
7553,Approach2_Step2,1.0,1.0,1.0,10.0
7557,Approach2_Step2,1.0,1.0,1.0,10.0
7579,Approach2_Step2,1.0,1.0,1.0,13.0
7604,Approach2_Step2,1.0,1.0,1.0,12.0
7613,Approach2_Step2,1.0,1.0,1.0,6.0
7618,Approach2_Step2,1.0,1.0,1.0,3.0
7619,Approach2_Step2,1.0,1.0,1.0,5.0
7632,Approach2_Step2,1.0,1.0,1.0,11.0
7648,Approach2_Step2,1.0,1.0,1.0,6.0
7723,Approach2_Step2,1.0,1.0,1.0,2.0
7741,Approach2_Step2,0.83,1.0,0.91,5.0
7788,Approach2_Step2,1.0,1.0,1.0,2.0
7844,Approach2_Step2,1.0,1.0,1.0,10.0
7927,Approach2_Step2,1.0,1.0,1.0,4.0
8067,Approach2_Step2,1.0,1.0,1.0,2.0
8127,Approach2_Step2,1.0,1.0,1.0,4.0
8231,Approach2_Step2,1.0,1.0,1.0,4.0
8267,Approach2_Step2,0.86,1.0,0.92,6.0
8268,Approach2_Step2,1.0,1.0,1.0,2.0
8291,Approach2_Step2,1.0,1.0,1.0,2.0
8549,Approach2_Step2,0.86,1.0,0.92,6.0
8724,Approach2_Step2,0.0,0.0,0.0,5.0
8725,Approach2_Step2,1.0,0.86,0.92,7.0
8748,Approach2_Step2,1.0,1.0,1.0,2.0
8794,Approach2_Step2,1.0,1.0,1.0,2.0
8907,Approach2_Step2,1.0,1.0,1.0,4.0
8921,Approach2_Step2,1.0,1.0,1.0,2.0
8941,Approach2_Step2,1.0,1.0,1.0,7.0
9103,Approach2_Step2,1.0,1.0,1.0,2.0
9129,Approach2_Step2,1.0,1.0,1.0,2.0
9240,Approach2_Step2,1.0,0.67,0.8,3.0
9311,Approach2_Step2,1.0,1.0,1.0,2.0
9548,Approach2_Step2,0.83,1.0,0.91,5.0
9566,Approach2_Step2,1.0,0.88,0.93,8.0
9906,Approach2_Step2,1.0,1.0,1.0,3.0
9912,Approach2_Step2,0.14,1.0,0.25,2.0
