class,classifier,precision,recall,f1_score,support
11112,RF,0.67,1.0,0.8,2.0
11143,RF,0.75,0.75,0.75,4.0
11205,RF,1.0,1.0,1.0,3.0
11212,RF,1.0,1.0,1.0,2.0
11275,RF,1.0,1.0,1.0,3.0
11295,RF,0.67,0.5,0.57,4.0
11896,RF,0.33,0.5,0.4,2.0
12321,RF,1.0,0.5,0.67,2.0
12681,RF,1.0,1.0,1.0,3.0
12942,RF,1.0,1.0,1.0,6.0
13081,RF,1.0,1.0,1.0,3.0
13436,RF,1.0,1.0,1.0,3.0
14452,RF,1.0,1.0,1.0,3.0
14470,RF,1.0,0.67,0.8,3.0
14814,RF,0.8,0.67,0.73,6.0
14918,RF,1.0,1.0,1.0,2.0
15566,RF,1.0,1.0,1.0,4.0
16464,RF,0.5,0.75,0.6,4.0
16931,RF,1.0,1.0,1.0,3.0
18190,RF,1.0,1.0,1.0,5.0
18426,RF,0.67,1.0,0.8,4.0
18564,RF,1.0,1.0,1.0,7.0
18623,RF,1.0,1.0,1.0,2.0
18768,RF,1.0,1.0,1.0,5.0
19082,RF,1.0,1.0,1.0,6.0
19285,RF,1.0,1.0,1.0,3.0
19293,RF,1.0,1.0,1.0,3.0
19378,RF,0.86,1.0,0.92,6.0
19531,RF,1.0,1.0,1.0,2.0
19565,RF,0.75,1.0,0.86,3.0
19665,RF,1.0,1.0,1.0,3.0
19709,RF,0.86,1.0,0.92,6.0
19755,RF,1.0,1.0,1.0,6.0
19807,RF,1.0,1.0,1.0,3.0
19857,RF,1.0,1.0,1.0,3.0
20104,RF,1.0,1.0,1.0,2.0
22142,RF,1.0,1.0,1.0,5.0
25406,RF,1.0,1.0,1.0,3.0
25459,RF,1.0,1.0,1.0,2.0
26856,RF,1.0,1.0,1.0,2.0
28375,RF,1.0,1.0,1.0,4.0
28399,RF,1.0,0.67,0.8,3.0
28406,RF,1.0,1.0,1.0,3.0
29105,RF,1.0,1.0,1.0,7.0
30006,RF,1.0,0.5,0.67,2.0
32389,RF,1.0,1.0,1.0,2.0
33495,RF,1.0,1.0,1.0,2.0
33782,RF,1.0,1.0,1.0,2.0
33834,RF,1.0,1.0,1.0,3.0
36075,RF,1.0,1.0,1.0,3.0
36712,RF,1.0,0.5,0.67,2.0
37398,RF,1.0,1.0,1.0,2.0
38089,RF,1.0,1.0,1.0,3.0
38364,RF,1.0,1.0,1.0,5.0
38481,RF,1.0,1.0,1.0,4.0
38515,RF,1.0,1.0,1.0,5.0
38546,RF,1.0,1.0,1.0,4.0
38681,RF,1.0,1.0,1.0,3.0
38818,RF,1.0,1.0,1.0,3.0
39016,RF,1.0,1.0,1.0,2.0
39547,RF,1.0,1.0,1.0,2.0
39557,RF,1.0,1.0,1.0,4.0
39561,RF,1.0,0.67,0.8,3.0
39613,RF,1.0,1.0,1.0,5.0
39622,RF,1.0,0.5,0.67,2.0
39628,RF,1.0,1.0,1.0,3.0
39631,RF,1.0,0.67,0.8,3.0
39648,RF,1.0,1.0,1.0,8.0
39723,RF,1.0,1.0,1.0,4.0
41577,RF,1.0,1.0,1.0,3.0
45244,RF,1.0,0.67,0.8,3.0
47987,RF,1.0,1.0,1.0,3.0
48534,RF,1.0,1.0,1.0,3.0
48657,RF,1.0,1.0,1.0,3.0
49101,RF,1.0,1.0,1.0,2.0
49103,RF,1.0,1.0,1.0,5.0
