,val_loss,val_accuracy,val_top_k_categorical_accuracy,val_f1,loss,accuracy,top_k_categorical_accuracy,f1
0,2.5790829352385103,0.5932521224021912,0.8013120889663696,0.3100675940513611,4.339436004666418,0.2494134157896042,0.3911309242248535,0.1239350363612175
1,1.389939195102023,0.7891284227371216,0.935332715511322,0.5588654279708862,2.153140781184196,0.5900985598564148,0.796339750289917,0.45452210307121277
2,0.8944912642771212,0.8669165968894958,0.9625117182731628,0.7174001336097717,1.2066854442133697,0.7756921648979187,0.9314875602722168,0.6579633951187134
3,0.6117272774750872,0.9090909361839294,0.9728209972381592,0.8323737978935242,0.7404694737318478,0.8744720816612244,0.9723134636878967,0.7841177582740784
4,0.47519701283561255,0.9250234365463257,0.969072163105011,0.8877887725830078,0.49210661002192235,0.9258564114570618,0.9852182269096375,0.8655221462249756
5,0.39250307054640315,0.9372071027755737,0.9756326079368591,0.9204323887825012,0.34391235161252787,0.9504927396774292,0.9906147122383118,0.9163007140159607
6,0.3419121695994884,0.9362699389457703,0.9784442186355591,0.9353178143501282,0.2389063891364285,0.9706710577011108,0.9948381185531616,0.9493036270141602
7,0.3082113464021638,0.9465792179107666,0.9803186655044556,0.9377858638763428,0.17697687678525056,0.9809948205947876,0.9960112571716309,0.9643564820289612
8,0.2883685167386583,0.9390815496444702,0.9840674996376038,0.9403591156005859,0.13823573239556727,0.9840450286865234,0.9978883266448975,0.9768932461738586
9,0.2719609487833213,0.9465792179107666,0.9793814420700073,0.950842559337616,0.10724997455765528,0.9903801083564758,0.9988268613815308,0.9822918176651001
10,0.2615756695390083,0.9465792179107666,0.981255829334259,0.9481682181358337,0.08704507160723797,0.9920225143432617,0.9992961287498474,0.9878063201904297
11,0.2525470462935822,0.9512652158737183,0.9821930527687073,0.952261209487915,0.07211041855370143,0.9962459206581116,0.9992961287498474,0.9887426495552063
12,0.24950856110037434,0.9465792179107666,0.9831302762031555,0.9514142870903015,0.06351805297401744,0.994368851184845,0.9995307326316833,0.9916150569915771
13,0.2423606529594473,0.9475163817405701,0.9803186655044556,0.9583787322044373,0.05226456142475996,0.9974190592765808,0.9995307326316833,0.9930278658866882
14,0.241740606271338,0.9465792179107666,0.9831302762031555,0.9549254775047302,0.04268242454165894,0.9976536631584167,0.9997653961181641,0.9955461025238037
15,0.23334841797479203,0.9512652158737183,0.9840674996376038,0.9546346664428711,0.0344578634819924,0.9983575940132141,1.0,0.9965161681175232
16,0.22965763962453173,0.9484536051750183,0.9831302762031555,0.9564514756202698,0.03066170713827119,0.9992961287498474,0.9997653961181641,0.9973758459091187
17,0.22033400099022765,0.9559512734413147,0.9821930527687073,0.9590288996696472,0.026599142335946152,0.9992961287498474,1.0,0.9985161423683167
18,0.22404813253946582,0.9540768265724182,0.9840674996376038,0.9580898284912109,0.023590102333335992,0.9995307326316833,1.0,0.9987451434135437
19,0.2243751769827813,0.9522024393081665,0.9831302762031555,0.9564175009727478,0.021525385144945883,0.9997653961181641,1.0,0.9989728927612305
20,0.2226401471655952,0.9587628841400146,0.981255829334259,0.956807553768158,0.019897279079613663,0.9997653961181641,1.0,0.9981760382652283
21,0.2216914417859317,0.9522024393081665,0.9821930527687073,0.9555837512016296,0.017709669507585433,1.0,1.0,0.9989747405052185
22,0.22700282753966294,0.9503280520439148,0.9831302762031555,0.9603000283241272,0.017805392102651727,0.9995307326316833,1.0,0.9989747405052185
23,0.2204882118365646,0.9522024393081665,0.9850046634674072,0.958648145198822,0.0157754204322504,0.9995307326316833,1.0,0.9988613128662109
24,0.22005534160885726,0.9550140500068665,0.9850046634674072,0.9573345184326172,0.01419109601225024,0.9995307326316833,1.0,0.9990885257720947
25,0.21794769433942374,0.9522024393081665,0.9850046634674072,0.9581992626190186,0.013364990152233311,0.9997653961181641,1.0,0.9996582269668579
26,0.22111637662003392,0.9503280520439148,0.9831302762031555,0.9543993473052979,0.012168632022221846,0.9997653961181641,1.0,0.99920254945755
27,0.21921822307901956,0.9512652158737183,0.9821930527687073,0.9568800926208496,0.011791698228618535,0.9995307326316833,1.0,0.9992036819458008
28,0.2142114290424676,0.9550140500068665,0.9821930527687073,0.9577797055244446,0.010889885073474376,0.9995307326316833,1.0,0.99920254945755
29,0.22013934340673624,0.9512652158737183,0.9803186655044556,0.961000382900238,0.011931108011230861,0.9997653961181641,1.0,0.99920254945755
30,0.21760955892133177,0.9540768265724182,0.9850046634674072,0.9591526389122009,0.009482651983673153,1.0,1.0,0.9996582269668579
31,0.21230207637804294,0.9550140500068665,0.9850046634674072,0.963165819644928,0.008137301688927305,1.0,1.0,1.0
32,0.21717976685875245,0.9550140500068665,0.9831302762031555,0.9609871506690979,0.008013953416551896,1.0,1.0,0.9998860955238342
33,0.21626831184733997,0.9559512734413147,0.9850046634674072,0.9613637328147888,0.008382600960717242,1.0,1.0,0.9998860955238342
34,0.21469276741971005,0.9559512734413147,0.9850046634674072,0.9570210576057434,0.0075417910936340544,1.0,1.0,1.0
35,0.21512324312717532,0.9531396627426147,0.9831302762031555,0.9602106213569641,0.006695060470678587,1.0,1.0,0.9998860955238342
36,0.2136468867148991,0.9568884968757629,0.9831302762031555,0.9630951881408691,0.0071131407603593514,0.9995307326316833,1.0,0.9996587634086609
37,0.21371535121025945,0.9568884968757629,0.9850046634674072,0.9631004929542542,0.005700124863619076,1.0,1.0,0.9998860955238342
38,0.21310073112145472,0.9531396627426147,0.9840674996376038,0.9626116752624512,0.005903719672002336,1.0,1.0,1.0
