,val_loss,val_accuracy,val_top_k_categorical_accuracy,val_f1,loss,accuracy,top_k_categorical_accuracy,f1
0,0.3287067283921379,0.9327398538589478,0.9703264236450195,0.9229118227958679,0.018163218565419793,0.9981473088264465,0.9997684359550476,0.9975252747535706
1,0.3207542098889129,0.9436202049255371,0.9742828607559204,0.9474031329154968,0.013009770281592167,0.9990736246109009,1.0,0.9988613724708557
2,0.2831286917911321,0.9406528472900391,0.975271999835968,0.9571838974952698,0.008215406247220102,0.9995368123054504,1.0,0.9988619089126587
3,0.31601497018018887,0.9327398538589478,0.9732937812805176,0.9357479214668274,0.013389247976029538,0.9979156851768494,0.9997684359550476,0.9976087808609009
4,0.32226554112016975,0.937685489654541,0.97230464220047,0.9382224678993225,0.014095179275913666,0.9981473088264465,1.0,0.9976425766944885
5,0.3308049849539435,0.937685489654541,0.9673590660095215,0.9443368315696716,0.011669009145747847,0.9983788728713989,1.0,0.9978349208831787
6,0.35870612859652257,0.9357072114944458,0.9732937812805176,0.9496598243713379,0.011620415440635887,0.9981473088264465,1.0,0.9982128143310547
7,0.34083893323274794,0.9287833571434021,0.9703264236450195,0.9180259108543396,0.009776188992826599,0.9997684359550476,1.0,0.9990869164466858
8,0.312972080769454,0.937685489654541,0.9762611389160156,0.9408369660377502,0.012447480250136162,0.9981473088264465,0.9997684359550476,0.9976098537445068
9,0.3286202631736014,0.9327398538589478,0.9683481454849243,0.944305956363678,0.010404409010320446,0.9981473088264465,1.0,0.9980644583702087
10,0.33263360554929067,0.9366963505744934,0.97230464220047,0.9461228847503662,0.013671992192646181,0.9974524974822998,1.0,0.9964685440063477
11,0.37317283735283524,0.9317507147789001,0.9732937812805176,0.9485061764717102,0.016199356004088467,0.9967577457427979,1.0,0.9961289763450623
12,0.36354876741118414,0.9307616353034973,0.9703264236450195,0.9522745013237,0.017123588589039486,0.9960629940032959,1.0,0.9962434768676758
13,0.3493564103220605,0.9317507147789001,0.9713155031204224,0.948492705821991,0.01667299341184362,0.9972209334373474,1.0,0.9968085885047913
14,0.3610759921644609,0.9317507147789001,0.9713155031204224,0.9271664023399353,0.010513329896566878,0.9988420605659485,1.0,0.998063325881958
15,0.33144326681965774,0.9366963505744934,0.9762611389160156,0.9519479870796204,0.005079344369431387,0.9997684359550476,1.0,0.9995443224906921
16,0.34480150811867943,0.9366963505744934,0.97230464220047,0.9396290183067322,0.003340589649752714,0.999305248260498,1.0,0.9993181824684143
17,0.3152150876827457,0.9396637082099915,0.9762611389160156,0.9470539093017578,0.002689505271046781,0.9997684359550476,1.0,0.9997726678848267
