method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,1.0,MARC-specific,2020-07-05 19:42:38.148148,25.16086913684807,0.053465346534653464,0.14772277227722772,0.013096394994640216,0.015528996622743136,0.02925291715294763,1.0,15.159933258910472,0.04693140794223827,0.1552346570397112,0.008501030817836595,0.006637272158798147,0.02461139896373057,1.0
OURS,2.0,MARC-specific,2020-07-05 19:42:46.598681,10.439067872868906,0.14732673267326732,0.37742574257425743,0.062245124978712596,0.09342741112455104,0.09148913060161402,1.0,6.78041849411782,0.13537906137184116,0.34115523465703973,0.04673106647627159,0.05014479173862889,0.07746113989637306,1.0
OURS,3.0,MARC-specific,2020-07-05 19:42:54.918899,5.473626558284948,0.38415841584158417,0.6352475247524753,0.25178506771367176,0.3222101431005099,0.29238627700512687,1.0,4.0809437703569875,0.37184115523465705,0.5902527075812274,0.2218473864089165,0.2331017981930733,0.2757957068837898,1.0
OURS,4.0,MARC-specific,2020-07-05 19:43:03.352921,3.7129068329310653,0.7097029702970297,0.8851485148514852,0.6175472758578997,0.7075299757644247,0.6347045985760569,1.0,2.655676194476737,0.6353790613718412,0.8321299638989169,0.5057806689230036,0.534979010626679,0.548766345916605,1.0
OURS,5.0,MARC-specific,2020-07-05 19:43:11.728294,2.5771897104471035,0.8685148514851485,0.9552475247524752,0.8274307160128309,0.8814257145250487,0.8283935559924812,1.0,1.7116356377997552,0.8194945848375451,0.927797833935018,0.7538887236235606,0.789384406612386,0.7664816185541574,1.0
OURS,6.0,MARC-specific,2020-07-05 19:43:20.109452,1.7546179454161388,0.9552475247524752,0.9885148514851485,0.9401573687640942,0.9575106211218035,0.939204749668023,1.0,1.113547444343567,0.9133574007220217,0.9584837545126353,0.8735867184053713,0.8895324451023933,0.8842832469775475,1.0
OURS,7.0,MARC-specific,2020-07-05 19:43:28.476768,1.2413793167265335,0.982970297029703,0.9976237623762376,0.9779185531553477,0.984995887423541,0.9758726161575904,1.0,0.7881194217540727,0.9476534296028881,0.9765342960288809,0.921926294099412,0.9342565178057405,0.9296200345423142,1.0
OURS,8.0,MARC-specific,2020-07-05 19:43:36.832359,0.8636956261408211,0.996039603960396,0.9992079207920792,0.9948988376782125,0.996396174250382,0.9940453760401946,1.0,0.5747855174412366,0.9638989169675091,0.9819494584837545,0.9479233489596184,0.9620898100172712,0.951208981001727,1.0
OURS,9.0,MARC-specific,2020-07-05 19:43:45.203206,0.6241351477226409,0.9976237623762376,0.9996039603960396,0.9969392928262978,0.997950763494805,0.996257915947035,1.0,0.4517849115688448,0.9783393501805054,0.98014440433213,0.9699443906697792,0.9791820873427092,0.9710708117443868,1.0
OURS,10.0,MARC-specific,2020-07-05 19:43:53.489444,0.46641770752349704,0.9992079207920792,0.9996039603960396,0.9990250349287229,0.9993708364174686,0.9987766263672999,1.0,0.37210668854765083,0.9783393501805054,0.9855595667870036,0.9692614524220741,0.9788860103626944,0.9702072538860104,0.0
OURS,11.0,MARC-specific,2020-07-05 19:44:01.793018,0.3586641514773416,0.9992079207920792,1.0,0.9990250349287229,0.9993708364174686,0.9987766263672999,0.0,0.3337973471367833,0.9783393501805054,0.983754512635379,0.9698333618022738,0.9801320009869232,0.9702072538860104,0.0
OURS,12.0,MARC-specific,2020-07-05 19:44:10.175062,0.3071461554919139,0.9996039603960396,1.0,0.9994879609875038,0.9996014348345954,0.9994242947610823,1.0,0.296540149928,0.9765342960288809,0.983754512635379,0.9673454927340938,0.9766345916604985,0.9693436960276337,0.0
OURS,13.0,MARC-specific,2020-07-05 19:44:18.589859,0.2577248161204971,1.0,1.0,1.0,1.0,1.0,1.0,0.26373359399582075,0.98014440433213,0.9855595667870036,0.9713178588826258,0.9783617073772515,0.9727979274611399,1.0
OURS,14.0,MARC-specific,2020-07-05 19:44:26.949136,0.22670589154309564,1.0,1.0,1.0,1.0,1.0,0.0,0.24019456501471867,0.983754512635379,0.9873646209386282,0.9771116045727445,0.9862694300518134,0.9766839378238342,1.0
