method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,1.0,MARC-generic,2020-07-06 17:35:22.920634,10.227481478571676,0.046823956442831216,0.14500907441016334,0.018053611007413806,0.030606333851084792,0.036132143733830106,1.0,5.5610753784057785,0.04062999315224834,0.13855284181693678,0.016841407105824487,0.030447627253176544,0.03147320662380903,1.0
OURS,2.0,MARC-generic,2020-07-06 17:36:25.176251,5.255110706333961,0.22716273442226256,0.4543254688445251,0.1411750014559189,0.2045686209734553,0.18194117374923335,1.0,4.463991408749711,0.20406299931522484,0.410865099292399,0.12391921633591588,0.15084229249197517,0.16500868609302344,1.0
OURS,3.0,MARC-generic,2020-07-06 17:37:28.072594,4.464139214675497,0.38493647912885665,0.6463399879007864,0.2986867754841457,0.409519113610976,0.3330753151759694,1.0,3.690887254494234,0.33713763980826295,0.5838849577721982,0.2510257943310038,0.30958140128081757,0.2917390452029006,1.0
OURS,4.0,MARC-generic,2020-07-06 17:38:30.684316,3.8342555561861844,0.5073200241984271,0.7499092558983667,0.4430288264042505,0.5516133569327167,0.46211252698612687,1.0,3.141762649487807,0.4457886327322529,0.6815795480483908,0.3760444205530832,0.44527103486189873,0.4040723444337902,1.0
OURS,5.0,MARC-generic,2020-07-06 17:39:33.262350,3.361130275166691,0.5829401088929219,0.801935874168179,0.5308621865523689,0.6294838947847008,0.5413654351189773,1.0,2.7431168046832437,0.5138096325039945,0.7420680209997718,0.45506471212374483,0.5117197327152473,0.47532057411575485,1.0
OURS,6.0,MARC-generic,2020-07-06 17:40:36.058369,3.027224837370663,0.6329098608590442,0.8320629159104658,0.5893326447366473,0.6684537796657966,0.5962700266125814,1.0,2.4834670610173166,0.5558091759872176,0.7721981282812144,0.5088093416960732,0.5727176088831559,0.521389894130858,1.0
OURS,7.0,MARC-generic,2020-07-06 17:41:38.026367,2.7848250510544035,0.6628554143980642,0.8568058076225046,0.6293920658486233,0.6928930980383439,0.6339200845505484,1.0,2.318003949768547,0.5790915316137868,0.7925131248573385,0.5346820039668752,0.5826861394313062,0.5481319662042553,1.0
OURS,8.0,MARC-generic,2020-07-06 17:42:40.652116,2.5951007796285808,0.6961282516636419,0.8736237144585602,0.6693051137576033,0.7196638647220933,0.6702382771953694,1.0,2.148039785919329,0.615841132161607,0.8084912120520429,0.5793229099390094,0.6260551996183323,0.5903448514894298,1.0
OURS,9.0,MARC-generic,2020-07-06 17:43:42.362032,2.4282457640729236,0.7179068360556564,0.8868118572292801,0.6974148173822661,0.7473273074799898,0.6954561340958199,1.0,2.03504914340568,0.6334170280757818,0.8171650308148825,0.6007487953700622,0.6526383297883581,0.6068037328579496,1.0
OURS,10.0,MARC-generic,2020-07-06 17:44:45.108655,2.3015562662267715,0.7443436176648518,0.9001209921355112,0.7271425269508186,0.7640842097109776,0.7245702265750543,1.0,1.9249446911780264,0.6512211823784524,0.827893175074184,0.620511626626192,0.6606381491138603,0.6271601167685504,1.0
