method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,1.0,MARC-specific,2020-07-06 08:25:52.843892,9.272769428090788,0.6474867724867724,0.8425324675324676,0.5370303763254054,0.6065384877786034,0.5704412019120491,1.0,2.64332208947674,0.6342603412012152,0.8340733816312222,0.5219510815718271,0.5755555177336542,0.5581146764881705,1.0
OURS,2.0,MARC-specific,2020-07-06 08:27:30.222481,2.152199982105969,0.949013949013949,0.9819624819624819,0.9275597588252329,0.9503445360943864,0.9268576607950836,1.0,0.8262954907986738,0.9308249591025941,0.9724234634260341,0.9003070495010036,0.9186080630141393,0.9045701899617563,1.0
OURS,3.0,MARC-specific,2020-07-06 08:29:06.364238,0.9035866527444987,0.9834656084656085,0.9935064935064936,0.9803973172270924,0.9844433048088869,0.9791676383170875,1.0,0.4358845550438934,0.9698527693386305,0.9850432344005609,0.9639090426558987,0.9718426180022566,0.9636531028097294,1.0
OURS,4.0,MARC-specific,2020-07-06 08:30:42.785343,0.5018761565101554,0.9923641173641173,0.9965728715728716,0.9912779815328062,0.9920967314042456,0.9909854558016055,1.0,0.28754084938791036,0.9782659499883151,0.9897172236503856,0.9745600874844718,0.9777147630429179,0.9752601592963038,1.0
OURS,5.0,MARC-specific,2020-07-06 08:32:19.282785,0.32604771823823425,0.996031746031746,0.9983164983164983,0.9954205787944927,0.9959945125091413,0.9951396107989758,1.0,0.2696571420024115,0.9810703435382099,0.9899509231128768,0.9792087166580835,0.9829593933509596,0.978968644028885,1.0
OURS,6.0,MARC-specific,2020-07-06 08:33:55.410310,0.2454666851689576,0.9979557479557479,0.9995189995189995,0.9975900921131995,0.997738501179244,0.9975922757300382,1.0,0.22167388872652863,0.9850432344005609,0.9911194204253331,0.9832490560828708,0.9864182448519799,0.9829553701541653,1.0
OURS,7.0,MARC-specific,2020-07-06 08:35:31.582859,0.19219140018219555,0.9992183742183742,0.9998196248196248,0.9990249645894562,0.9990954798107091,0.9990176852636299,1.0,0.19584088841660832,0.9848095349380697,0.9920542182752979,0.9832972163322301,0.9864154196985523,0.9833903713421787,0.0
OURS,8.0,MARC-specific,2020-07-06 08:37:07.070247,0.1644719607873626,0.9996392496392497,0.9999398749398749,0.9996237527623315,0.9996411603351205,0.9996197852309273,1.0,0.1925393270503196,0.9864454311755083,0.9925216172002804,0.9843433175645183,0.9870556875074947,0.9845627375747857,1.0
OURS,9.0,MARC-specific,2020-07-06 08:38:42.103509,0.1448773081168468,0.9998196248196248,1.0,0.9997701518425698,0.9997858567135676,0.9997644481831229,1.0,0.17596745643382541,0.9866791306379995,0.9927553166627717,0.9849759510644565,0.9877770656385114,0.9849236328151992,1.0
OURS,10.0,MARC-specific,2020-07-06 08:40:17.597412,0.12572884236737017,1.0,1.0,1.0,1.0,1.0,1.0,0.16891285065464898,0.9883150268754382,0.9925216172002804,0.9864280794289252,0.9888854452107464,0.9864288099227858,1.0
OURS,11.0,MARC-specific,2020-07-06 08:41:53.695645,0.11791182050643602,0.9999398749398749,1.0,0.9998818172637044,0.9999553770638108,0.9998174516246805,0.0,0.16502728962848107,0.9887824258004206,0.9927553166627717,0.9871159213335524,0.9892872968174173,0.9874336228251892,1.0
OURS,12.0,MARC-specific,2020-07-06 08:43:29.248826,0.11160737719385024,1.0,1.0,1.0,1.0,1.0,0.0,0.16776608340886187,0.9892498247254031,0.9929890161252629,0.9877921210737804,0.9899259932392463,0.9877929968291415,1.0
OURS,13.0,MARC-specific,2020-07-06 08:45:04.227697,0.11021434249084922,1.0,1.0,1.0,1.0,1.0,0.0,0.15768481651027227,0.9892498247254031,0.9927553166627717,0.9875121205072604,0.9895700517688469,0.9878161051353823,0.0
OURS,14.0,MARC-specific,2020-07-06 08:46:39.243422,0.10301381429839214,1.0,1.0,1.0,1.0,1.0,0.0,0.15452315161219266,0.9890161252629119,0.9932227155877541,0.9875121338485627,0.9897860840631925,0.9876464287608866,0.0
OURS,15.0,MARC-specific,2020-07-06 08:48:13.929936,0.09974541331983175,1.0,1.0,1.0,1.0,1.0,0.0,0.15976781512976918,0.9892498247254031,0.9929890161252629,0.9878506676140189,0.9900514088767103,0.9877906063147026,0.0
OURS,16.0,MARC-specific,2020-07-06 08:49:48.180598,0.09905956147983133,1.0,1.0,1.0,1.0,1.0,0.0,0.17749220639167754,0.9892498247254031,0.9927553166627717,0.9873880953267471,0.9897570412630654,0.9873220654847162,0.0
OURS,17.0,MARC-specific,2020-07-06 08:51:22.594128,0.09932705161160377,1.0,1.0,1.0,1.0,1.0,0.0,0.15547063464064217,0.9887824258004206,0.9927553166627717,0.9869037224969529,0.9893602883060715,0.9871714630750775,0.0
OURS,18.0,MARC-specific,2020-07-06 08:52:57.711161,0.09964204147751943,1.0,1.0,1.0,1.0,1.0,0.0,0.15459974015057157,0.9897172236503856,0.9927553166627717,0.9883878141419953,0.9905817185937668,0.9883021039647546,1.0
OURS,19.0,MARC-specific,2020-07-06 08:54:32.539796,0.0984812885408163,1.0,1.0,1.0,1.0,1.0,0.0,0.15518935171521192,0.9894835241878943,0.9929890161252629,0.9874380077160414,0.9897256246653838,0.987684431810938,0.0
OURS,20.0,MARC-specific,2020-07-06 08:56:07.433150,0.09543452483923061,1.0,1.0,1.0,1.0,1.0,0.0,0.15373134179305017,0.9894835241878943,0.9934564150502454,0.9879940450323423,0.9901040224835406,0.9881969213294515,0.0
OURS,21.0,MARC-specific,2020-07-06 08:57:41.788036,0.0904730356702901,1.0,1.0,1.0,1.0,1.0,0.0,0.1506234778682883,0.9899509231128768,0.9934564150502454,0.9885330929636676,0.9905632687259194,0.9887347870781608,1.0
OURS,22.0,MARC-specific,2020-07-06 08:59:16.897872,0.08942243370472554,1.0,1.0,1.0,1.0,1.0,0.0,0.1491674457174591,0.9901846225753681,0.9929890161252629,0.9886514342048122,0.9907009768455551,0.9888671346502672,1.0
OURS,23.0,MARC-specific,2020-07-06 09:00:51.403903,0.09022532383758555,1.0,1.0,1.0,1.0,1.0,0.0,0.1560832066206794,0.9892498247254031,0.9932227155877541,0.9875682990883631,0.9896863984966395,0.9876870173556921,0.0
OURS,24.0,MARC-specific,2020-07-06 09:02:25.722498,0.09061670240271029,1.0,1.0,1.0,1.0,1.0,0.0,0.15100590354839366,0.9899509231128768,0.9929890161252629,0.9885479326046414,0.9902350940001543,0.9888751030317297,0.0
OURS,25.0,MARC-specific,2020-07-06 09:04:00.380879,0.09083246676221726,1.0,1.0,1.0,1.0,1.0,0.0,0.15133126937575528,0.9890161252629119,0.9934564150502454,0.9875083239157423,0.9897466322165117,0.9877413249401201,0.0
OURS,26.0,MARC-specific,2020-07-06 09:05:35.145603,0.09120476675569696,1.0,1.0,1.0,1.0,1.0,0.0,0.14779053795251312,0.9904183220378593,0.9934564150502454,0.9889463978278706,0.9908939064059545,0.9891411243820882,1.0
OURS,27.0,MARC-specific,2020-07-06 09:07:09.488461,0.0885596028482071,1.0,1.0,1.0,1.0,1.0,0.0,0.14774738833896744,0.9906520215003506,0.9939238139752279,0.98932703490388,0.991540671510551,0.9893084603927977,1.0
OURS,28.0,MARC-specific,2020-07-06 09:08:43.160268,0.08775887116180583,1.0,1.0,1.0,1.0,1.0,0.0,0.14977660691084832,0.9887824258004206,0.9934564150502454,0.9873492645739083,0.9893657937332636,0.9877276561011502,0.0
OURS,29.0,MARC-specific,2020-07-06 09:10:17.262063,0.08674299654234138,1.0,1.0,1.0,1.0,1.0,0.0,0.14707339069753586,0.9904183220378593,0.9941575134377191,0.9890634363861193,0.9909716566343072,0.9893188192886989,0.0
